disciplineId,projectId,packageid,disciplineName,primeCode,sub_disc,status,addDate,disciplineCode,primeCodeDescription
"316","9","1,2,3,4","FOUNDATION","27","0","1","2019-03-16",\N,\N
"336","48","1,2,3,4,5","Civil","12","0","1","2019-05-22",\N,\N
"337","48","1,2,3,4,5","Common","13","0","1","2019-05-22",\N,\N
"338","48","1,2,3,4,5","Electrical","14","0","1","2019-05-22",\N,\N
"339","48","1,2,3,4,5","Finishing","15","0","1","2019-05-22",\N,\N
"340","48","1,2,3,4,5","Fire Protection","16","0","1","2019-05-22",\N,\N
"341","48","1,2,3,4,5","Handover","17","0","1","2019-05-22",\N,\N
"342","48","1,2,3,4,5","Inspection","18","0","1","2019-05-22",\N,\N
"343","48","1,2,3,4,5","Interior","19","0","1","2019-05-22",\N,\N
"344","48","1,2,3,4,5","Landscaping","20","0","1","2019-05-22",\N,\N
"345","48","1,2,3,4,5","Mechanical","21","0","1","2019-05-22",\N,\N
"346","48","1,2,3,4,5","Mobilization","22","0","1","2019-05-22",\N,\N
"347","48","1,2,3,4,5","Plumbing","23","0","1","2019-05-22",\N,\N
"348","48","1,2,3,4,5","Speciality","24","0","1","2019-05-22",\N,\N
"349","48","1,2,3,4,5","Structural","25","1","1","2019-05-22",\N,\N
"350","48","1,2,3,4,5","Trimming","26","0","1","2019-05-22",\N,\N
"351","8","1,2,3,4","Heat Tracing","35","0","1","2019-07-25",\N,\N
"352","8","1,2,3,4","Vessels & Platforms","38","0","1","2019-07-25",\N,\N
"353","51","1,2,3,4","Civil","1","1","1","2019-12-10",\N,\N
"354","51","1,2,3,4","Steel Structure","2","1","1","2019-12-10",\N,\N
"355","51","1,2,3,4","Mechanical","3","0","1","2019-08-27",\N,\N
"356","51","1,2,3,4","Piping","4","1","1","2019-12-10",\N,\N
"357","51","1,2,3,4","E&I","5","1","1","2019-08-27",\N,\N
"358","51","1,2,3,4","Insulation","6","0","1","2019-08-27",\N,\N
"359","51","1,2,3,4","Painting & Inst","7","0","1","2019-08-27",\N,\N
"361","52","1,2,3,4,5","Civil","10","0","1","2019-11-19",\N,\N
"362","51","1,2,3,4","Piping Supports","9","0","1","2019-12-05",\N,\N
"363","51","1,2,3,4","Mechanical Eqp & AC","10","0","1","2019-12-05",\N,\N
"364","51","1,2,3","Tanks and Spheres","11","0","1","2019-12-05",\N,\N
"365","51","1,2,3","Furnaces & Boilers","12","0","0","2019-12-05",\N,\N
"366","51","1,2,3,4","Packages & Skids","13","0","1","2019-12-05",\N,\N
"367","51","1,2,3","Measuring Instruments","14","0","1","2019-12-05",\N,\N
"368","51","1,2,3,4","Pipe Prefab","15","0","1","2019-12-05",\N,\N
"369","51","1,2,3,4","Telecom","16","0","1","2019-12-05",\N,\N
"370","51","1,2,3,4","Painting at Fab","16","0","1","2019-12-05",\N,\N
"371","51","1,2,3","Instrumentation & Control","17","0","0","2019-12-05",\N,\N
"372","51","5","ELECTRICAL ENGINEERING","301","0","1","2019-12-10",\N,\N
"373","51","5","ROTATING MACHINERY ENGINEERING","302","0","1","2019-12-10",\N,\N
"374","51","5","CIV - CIVIL","303","0","1","2020-04-14",\N,\N
"375","51","5","MECHANICAL ENGINEERING","304","0","1","2019-12-10",\N,\N
"376","51","5","PIPING ENGINEERING","305","0","1","2019-12-10",\N,\N
"377","51","5","HEAT TRANSFER EQUIPMENT ENGINEERING","306","0","1","2019-12-10",\N,\N
"378","51","5","PRESSURE EQUIPMENT ENGINEERING","307","0","1","2019-12-10",\N,\N
"379","51","5","FURNACES ENGINEERING","308","0","1","2019-12-10",\N,\N
"380","51","5","INSTRUMENTATION ENGINEERING","309","0","1","2019-12-10",\N,\N
"381","1","1,2,3","Mechanical","55","1","1","2019-12-10",\N,\N
"382","1","1,2,3","Insulation","56","0","1","2019-12-10",\N,\N
"384","54","1,2,3,5","Civil-General","04","1","1","2021-06-26","CIV",\N
"386","54","1,2,3,5","Electrical-General","10","1","1","2021-08-04","ELE",\N
"387","54","5","Instrumentation","06","0","1","2020-04-29",\N,\N
"388","54","1,2,3","Instrumentation-General","08","1","1","2021-08-04","INS",\N
"389","54","1,2,3","Insulation-Equipment","07","0","1","2021-08-04","MEC",\N
"390","54","1,2,3,5","LOPSE","11","0","1","2022-10-06","",\N
"392","54","1,2,3,5","Mechanical","05","1","1","2020-04-29",\N,\N
"394","54","1,2,3,5","Piping","06","1","1","2020-07-22","PIP",\N
"395","54","5","Process","13","0","1","2020-04-29",\N,\N
"398","54","1,2,3,5","Telecom","09","1","1","2020-04-29",\N,\N
"399","54","1,2,3,5","Civil-Structure","041","1","1","2021-07-23","CIV",\N
"400","54","1,2,3","Electrical-Lighting","101","1","1","2021-08-04","",\N
"401","54","1,2,3","Electrical-Cable","102","1","1","2021-08-04","ELE",\N
"402","54","1,2,3","Electrical-Earth/Grounding","103","1","1","2021-08-04","ELE",\N
"403","54","1,2,3","Electrical-Tracing","104","1","1","2021-08-04","ELE",\N
"404","54","1,2,3","Insulation-Piping","071","0","1","2021-08-04","MEC",\N
"405","54","1,2,3","Instrumentation-In-line","081","1","1","2021-08-04","",\N
"406","54","1","Civil-Building","042","0","1","2021-12-07","CIV",\N
"407","54","5","Architectural","0041","0","1","2020-04-29",\N,\N
"408","54","5","HVAC","0042","0","1","2020-04-29",\N,\N
"409","54","5","Mechanical- Rotating","051","0","1","2022-09-23","",\N
"410","54","5","Coating and Insulation","12","0","1","2022-10-06","",\N
"411","54","5","Construction","14","0","1","2020-04-29",\N,\N
"412","54","5","Contract & Procurement","14","0","1","2020-04-29",\N,\N
"413","54","5","Plant Commissioning, O&M Eng.","15","0","1","2020-04-29",\N,\N
"414","54","5","Project Management","15","0","1","2020-04-29",\N,\N
"415","54","5","Quality Control Management","16","0","1","2020-04-29",\N,\N
"416","54","5","Civil-Plant Construction","045","0","1","2021-08-04","",\N
"417","54","5","Electrical-Plant Construction","046","0","1","2021-08-04","",\N
"418","54","5","Piping-Plant Construction","066","0","1","2021-08-04","",\N
"419","54","5","Construction-Plant Construction","047","0","1","2021-08-04","",\N
"420","1","1,2,3","Civil-Structure","112","1","1","2021-06-02","",\N
"430","54","5","Power Plant","1101","0","1","2022-10-06","P01",\N
"432","1","1,4","Telecom","01","0","1","2023-03-20","TL","Telecom  cost estimation"
"433","1","3,4","Civil Const","01","0","1","2023-11-29","DES-01","03"
